Time,Symbol,Open,High,Low,Close,Volume,Supertrend,Polaridad,DEMA800,Half-Order,Profit,Stoploss-Reached,Exit-Price,ATR,ADX,P&L
2021-11-06 19:30:00-05:00,XRPUSDT,1.1461,1.1552,1.1461,1.1552,1818077.0,1.1344044885166038,Buy,1.1467493,True,True,False,1.242,0.0062136670515987435,24.267754642782418,0.7524999999999995
2021-11-08 18:00:00-05:00,XRPUSDT,1.2761,1.2869,1.2726,1.2859,6213869.0,1.2454246230795745,Buy,1.1841705,False,False,True,1.2454246230795745,0.011433770511844894,19.96033736763025,-0.48719999999999913
2021-11-10 07:30:00-05:00,XRPUSDT,1.2567,1.2973,1.2562,1.269,29961865.0,1.232141547106411,Buy,1.2129661,True,False,False,1.269,0.012681010307024098,23.304783733792593,0.34510000000000085
2021-11-14 03:00:00-05:00,XRPUSDT,1.1825,1.1847,1.1751,1.1755,3408816.0,1.1961273183807346,Sell,1.2201556,False,False,True,1.1961273183807346,0.005372071785529182,11.875682939133489,-0.45779999999999926
2021-11-15 09:00:00-05:00,XRPUSDT,1.1991,1.1991,1.1866,1.1919,3221895.0,1.2158379976776978,Sell,1.2190457,True,True,False,1.1032,0.00710172061308456,23.638385106562332,0.7279999999999991
2021-11-18 04:00:00-05:00,XRPUSDT,1.1074,1.1077,1.0822,1.085,5417701.0,1.137211027425326,Sell,1.1708741,True,True,False,1.0625,0.013699002633174808,29.04843379818596,0.43399999999999883
2021-11-20 10:00:00-05:00,XRPUSDT,1.0876,1.088,1.0622,1.0703,10204950.0,1.099410814902729,Sell,1.1291506,False,True,False,1.0577,0.007110044948497621,13.966683706155855,0.17639999999999922
2021-11-20 21:30:00-05:00,XRPUSDT,1.084,1.0847,1.0702,1.0804,2684923.0,1.0957247080293087,Sell,1.1239255,True,False,False,1.0804,0.0061144134057184085,18.99721107159537,0.07559999999999945
2021-11-21 18:30:00-05:00,XRPUSDT,1.0759,1.0771,1.0526,1.0577,4932207.0,1.0909819834714694,Sell,1.1133154,False,True,False,1.0552,0.007442973139706893,21.777377730725124,0.03500000000000236
2021-11-23 03:00:00-05:00,XRPUSDT,1.0368,1.0391,1.0315,1.0334,1429019.0,1.051282149375756,Sell,1.0912407,False,False,True,1.051282149375756,0.005917254407701922,17.46837211127965,-0.2995999999999981
2021-11-23 21:00:00-05:00,XRPUSDT,1.0522,1.0551,1.0478,1.0482,2686656.0,1.0739503980741927,Sell,1.0823161,True,True,False,1.043,0.007202074573531499,17.6472596002452,0.2506000000000004
2021-11-25 03:30:00-05:00,XRPUSDT,1.0327,1.0352,1.0212,1.0249,2277621.0,1.0439319085890255,Sell,1.0650356,False,False,True,1.0439319085890255,0.0054877967393729115,12.680448300643402,-0.19740000000000002
2021-11-25 20:30:00-05:00,XRPUSDT,1.0425,1.0429,1.0391,1.0396,1042088.0,1.0582949322962087,Sell,1.0595948,True,True,False,0.9638,0.005917461742073593,20.35527882496275,0.7098000000000011
2021-11-27 15:30:00-05:00,XRPUSDT,0.9549,0.9549,0.9376,0.9405,2381410.0,0.9646663685718153,Sell,1.0170196,True,False,False,0.9405,0.0059539747044092504,12.097192435118089,0.15049999999999975
2021-11-29 04:30:00-05:00,XRPUSDT,0.9792,0.9793,0.9635,0.9689,5254865.0,0.9945189781533705,Sell,0.9855269,False,False,True,0.9945189781533705,0.0077585372498034,31.959567406936884,-0.3695999999999997
2021-11-29 12:00:00-05:00,XRPUSDT,0.9833,0.9974,0.9809,0.9953,3670333.0,0.9647343364559487,Buy,0.9825993,False,True,False,1.0067,0.007694301485208505,17.746067626798453,0.15959999999999952
2021-11-30 00:30:00-05:00,XRPUSDT,0.9921,0.9927,0.977,0.9772,5638599.0,1.0130254547015154,Sell,0.9802657,False,False,True,1.0130254547015154,0.008648985118185484,20.888657731518805,-0.5851999999999993
2021-11-30 07:00:00-05:00,XRPUSDT,0.999,1.0127,0.999,1.0067,3395921.0,0.9759771750736428,Buy,0.9786103,False,False,True,0.9759771750736428,0.009376699924787957,20.136660854190307,-0.3695999999999997
2021-12-05 09:00:00-05:00,XRPUSDT,0.8205,0.8215,0.7779,0.8025,18184901.0,0.8451886173794311,Sell,0.9046568,True,True,False,0.8018,0.013717930647683578,26.06256069974609,0.3087000000000002
2021-12-07 15:00:00-05:00,XRPUSDT,0.8226,0.824,0.8136,0.8154,2016463.0,0.8431925516026664,Sell,0.8452227,False,False,True,0.8431925516026664,0.008136748739909102,20.58933076121633,-0.3500000000000003
2021-12-08 02:00:00-05:00,XRPUSDT,0.8248,0.8428,0.8241,0.8396,5015637.0,0.807241417294123,Buy,0.8369835,False,False,True,0.807241417294123,0.00833413075596831,26.34812224921479,-0.4606000000000005
2021-12-08 05:30:00-05:00,XRPUSDT,0.8263,0.8294,0.8054,0.8067,11910659.0,0.8503870420953765,Sell,0.8350048,False,False,True,0.8503870420953765,0.009671791374292128,24.34932252259924,-0.6215999999999999
2021-12-08 09:00:00-05:00,XRPUSDT,0.8184,0.8467,0.8157,0.8453,6419175.0,0.7912148453498946,Buy,0.8327028,True,True,False,0.9305,0.011366230765559523,21.955872214032546,1.1927999999999992
2021-12-09 04:30:00-05:00,XRPUSDT,0.8416,0.9344,0.832,0.9305,44641831.0,0.8140288103125757,Buy,0.8291764,False,False,True,0.8140288103125757,0.015959907845103354,19.693291821011858,-1.5581999999999994
2021-12-11 03:00:00-05:00,XRPUSDT,0.8265,0.8418,0.8231,0.8418,3941642.0,0.8005978243109525,Buy,0.8181369,False,False,True,0.8005978243109525,0.010676291418768288,16.9101706618028,-0.6215999999999999
2021-12-12 12:00:00-05:00,XRPUSDT,0.8256,0.8358,0.8256,0.8345,4088986.0,0.8159664473733751,Buy,0.8082189,True,False,False,0.8345,0.0050804315462292865,16.352986223444493,0.1014999999999997
2021-12-14 06:30:00-05:00,XRPUSDT,0.7951,0.814,0.7917,0.8079,7321875.0,0.7726275718213325,Buy,0.7926824,False,True,False,0.8155,0.009417779873638505,21.997840629535265,0.10640000000000072
2021-12-15 13:30:00-05:00,XRPUSDT,0.7923,0.8144,0.792,0.8038,9582161.0,0.775996038697673,Buy,0.7838456,True,True,False,0.8155,0.007743044208836776,21.42736905819201,0.3052000000000006
2021-12-17 00:00:00-05:00,XRPUSDT,0.8136,0.8322,0.8118,0.8275,5647175.0,0.8024684483313733,Buy,0.7828815,False,False,True,0.8024684483313733,0.005891054087938811,30.82704917731223,-0.28279999999999994
2021-12-17 23:30:00-05:00,XRPUSDT,0.8064,0.8132,0.8043,0.8108,4047768.0,0.7849619833032013,Buy,0.7789933,True,True,False,0.8457,0.008019059326971563,15.605743630336049,0.39900000000000035
2021-12-20 15:00:00-05:00,XRPUSDT,0.8599,0.8699,0.8599,0.8684,4184801.0,0.8357618847856126,Buy,0.7920749,True,True,False,0.9268,0.010354213318664216,23.55690422721377,0.5985000000000001
