Time,Symbol,Open,High,Low,Close,Volume,Supertrend,Polaridad,DEMA800,Half-Order,Profit,Stoploss-Reached,Exit-Price,ATR
2021-09-27 16:45:00-05:00,XRPUSDT,0.9352,0.9389,0.9347,0.9373,742715.0,0.924250617998064,Buy,0.9322337,False,False,True,0.924250617998064,0.0061678642089561
2021-09-27 18:30:00-05:00,XRPUSDT,0.9323,0.9348,0.9237,0.9247,3801536.0,0.9410780429802622,Sell,0.9317042,False,False,True,0.9410780429802622,0.005873356814601118
2021-09-27 21:15:00-05:00,XRPUSDT,0.9353,0.9375,0.9346,0.9369,869558.0,0.9256641923912262,Buy,0.9305614,False,False,True,0.9256641923912262,0.005600234358923061
2021-09-28 06:15:00-05:00,XRPUSDT,0.9321,0.9429,0.9314,0.9383,4790106.0,0.9252692580726952,Buy,0.9273637,False,False,True,0.9252692580726952,0.005279285169674326
2021-09-28 09:00:00-05:00,XRPUSDT,0.9305,0.932,0.9238,0.9248,3158815.0,0.9418222681549109,Sell,0.9267409,True,True,False,0.9162,0.00624416890018118
2021-09-28 17:45:00-05:00,XRPUSDT,0.9137,0.9144,0.9078,0.9078,1194841.0,0.9200671369415252,Sell,0.9207581,True,False,False,0.9078,0.004771196446104244
2021-09-29 05:30:00-05:00,XRPUSDT,0.9234,0.9265,0.9223,0.9264,1179996.0,0.9166787858042549,Buy,0.9150729,True,False,False,0.9264,0.003857467576983933
2021-09-29 18:30:00-05:00,XRPUSDT,0.9221,0.9254,0.9221,0.9254,572378.0,0.9140819403652803,Buy,0.9148764,True,True,False,0.9438,0.005724722265853098
2021-09-30 07:15:00-05:00,XRPUSDT,0.9414,0.947,0.9414,0.9437,2735230.0,0.9345701839968098,Buy,0.9193007,True,False,False,0.9437,0.004726816056721402
2021-09-30 13:30:00-05:00,XRPUSDT,0.9458,0.9539,0.9452,0.9529,1919900.0,0.9394060848354888,Buy,0.9212864,False,False,True,0.9394060848354888,0.005124888973686676
2021-09-30 16:30:00-05:00,XRPUSDT,0.9455,0.951,0.9444,0.9503,700720.0,0.9385164106759947,Buy,0.9224382,False,True,False,0.9571,0.004713041676969726
2021-10-01 00:30:00-05:00,XRPUSDT,0.9544,0.9575,0.9542,0.9571,1065590.0,0.9496330757059412,Buy,0.926047,True,False,False,0.9571,0.003518038812793568
2021-10-01 08:15:00-05:00,XRPUSDT,1.0157,1.0606,1.0153,1.0574,16173240.0,1.0063896794595457,Buy,0.9363102,False,False,True,1.0063896794595457,0.01179116177735815
2021-10-01 16:45:00-05:00,XRPUSDT,1.0373,1.0478,1.0367,1.047,2154858.0,1.0284848777681272,Buy,0.9541812,False,False,True,1.0284848777681272,0.007577045649025829
2021-10-02 04:15:00-05:00,XRPUSDT,1.018,1.0236,1.0171,1.0236,766776.0,1.0101462543233406,Buy,0.9732953,True,True,False,1.0398,0.005266105535236623
2021-10-03 00:30:00-05:00,XRPUSDT,1.0468,1.0517,1.0468,1.0504,1374069.0,1.040999043617702,Buy,1.0050401,False,False,True,1.040999043617702,0.0053217021334678455
2021-10-03 06:00:00-05:00,XRPUSDT,1.0379,1.0482,1.0368,1.0465,2750493.0,1.030321202441499,Buy,1.0117393,True,True,False,1.0599,0.005528417808293945
2021-10-03 12:45:00-05:00,XRPUSDT,1.0629,1.0858,1.0629,1.0817,7438028.0,1.0560367653914864,Buy,1.0228152,False,False,True,1.0560367653914864,0.008170880443083343
2021-10-04 02:45:00-05:00,XRPUSDT,1.0334,1.042,1.0331,1.042,1325177.0,1.0274303651987233,Buy,1.0354051,False,False,True,1.0274303651987233,0.005402043810857953
